Check,Away,Home,Check,,network,time,mediaindicator,,,
0,Kansas,Toledo,0,,ESPN2 HD,9/15/2006 20:00,T,,,
0,Michigan St.,Pittsburgh,0,,ABC,9/16/2006 12:00,T,,,
0,Wake Forest,Connecticut,0,,ESPN360,9/16/2006 12:00,W,,,
0,BYU,Boston College,0,,ESPN2 HD,9/16/2006 12:00,T,,,
0,Duke,Virginia Tech,0,,Raycom/LF Sports,9/16/2006 12:00,T,,,
0,Iowa St.,Iowa,0,,ESPN HD,9/16/2006 12:00,T,,,
0,Syracuse,Illinois,0,,ESPNU,9/16/2006 12:00,T,,,
0,Cincinnati,Ohio St.,0,,ESPN Plus,9/16/2006 12:00,T,,,
0,Marshall,Kansas St.,0,,FSN,9/16/2006 12:30,T,,,
0,Arkansas,Vanderbilt,0,,Lincoln Financial Sports,9/16/2006 12:30,T,,,
0,UAB,Georgia,0,,CSS PPV,9/16/2006 13:00,T,,,
0,Akron,Central Michigan,0,,Comcast Local,9/16/2006 13:00,T,,,
0,Ball St.,Purdue,0,,ESPN360,9/16/2006 13:00,W,,,
0,Kent St.,Miami (OH),0,,FSN Ohio,9/16/2006 14:00,T,,,
0,USF,UCF,0,,CSTV,9/16/2006 14:30,T,,,
0,Youngstown St.,Penn St.,0,,ESPNU,9/16/2006 15:30,T,,,
0,San Diego St.,Wisconsin,0,,ESPN Plus,9/16/2006 15:30,T,,,
0,Michigan,Notre Dame,0,,NBC HD,9/16/2006 15:30,T,,,
0,Western Michigan,Virginia,0,,ESPN360,9/16/2006 15:30,W,,,
0,Miami (FL),Louisville,0,,ABC HD,9/16/2006 15:30,T,,,
0,Ohio,Rutgers,0,,ESPN Plus,9/16/2006 15:30,T,,,
0,Boise St.,Wyoming,0,,The mtn.,9/16/2006 15:30,T,,,
0,LSU,Auburn,0,,CBS HD,9/16/2006 15:30,T,,,
0,Idaho St.,Idaho,0,,Vandal Sports,9/16/2006 17:00,T,,,
0,Texas Tech,TCU,0,,OLN,9/16/2006 17:30,T,,,
0,Ole Miss,Kentucky,0,,ESPN Plus PPV,9/16/2006 18:00,T,,,
0,NC State,Southern Miss,0,,,9/16/2006 19:00,W,,,
0,North Texas,Tulsa,0,,,9/16/2006 19:00,W,,,
0,Memphis,East Carolina,0,,,9/16/2006 19:00,W,,,
0,Grambling,Houston,0,,,9/16/2006 19:00,W,,,
0,Arizona St.,Colorado,0,,TBS,9/16/2006 19:00,T,,,
0,Furman,North Carolina,0,,ESPNU,9/16/2006 19:00,T,,,
0,UL-Monroe,Alabama,0,,Crimson Tide PPV,9/16/2006 19:00,T,,,
0,Wofford,South Carolina,0,,ESPN Plus PPV,9/16/2006 19:00,T,,,
0,Nicholls St.,Louisiana Tech,0,,ESPN Plus,9/16/2006 19:00,T,,,
0,Buffalo,Northern Illinois,0,,CSN Chicago,9/16/2006 19:30,T,,,
0,Clemson,Florida St.,0,,ESPN HD,9/16/2006 19:45,T,,,
0,Sam Houston St.,SMU,0,,,9/16/2006 20:00,W,,,
0,Missouri,New Mexico,0,,The mtn.,9/16/2006 20:00,T,,,
0,Florida,Tennessee,0,,CBS HD,9/16/2006 20:00,T,,,
0,Utah,Utah St.,0,,KJZZ,9/16/2006 20:00,T,,,
0,Texas Southern,New Mexico St.,0,,,9/16/2006 20:00,W,,,
0,Colorado St.,Nevada,0,,,9/16/2006 21:00,W,,,
0,UNLV,Hawai'i,0,,Oceanic PPV,9/16/2006 23:59,T,,,
0,Virginia,Georgia Tech,0,,ESPN HD,9/21/2006 19:30,T,,,
0,Northwestern,Nevada,0,,ESPN2 HD,9/22/2006 20:00,T,,,
0,Cincinnati,Virginia Tech,0,,ESPNU,9/23/2006 12:00,T,,,
0,North Carolina,Clemson,0,,Raycom/LF Sports,9/23/2006 12:00,T,,,
0,Louisville,Kansas St.,0,,FSN HD,9/23/2006 12:00,T,,,
0,Wisconsin,Michigan,0,,ESPN HD,9/23/2006 12:00,T,,,
0,Minnesota,Purdue,0,,ESPN2 HD,9/23/2006 12:00,T,,,
0,Iowa,Illinois,0,,ESPN Plus,9/23/2006 12:00,T,,,
0,Colorado,Georgia,0,,Lincoln Financial Sports,9/23/2006 12:30,T,,,
0,Kent St.,Bowling Green,0,,,9/23/2006 13:00,W,,,
0,Tulsa,Navy,0,,CSTV,9/23/2006 13:30,T,,,
0,The Citadel,Pittsburgh,0,,ESPN360,9/23/2006 13:30,W,,,
0,Howard,Rutgers,0,,ESPN Plus,9/23/2006 14:00,T,,,
0,Indiana St.,Northern Illinois,0,,CSN Chicago,9/23/2006 15:00,T,,,
0,Utah St.,BYU,0,,The mtn.,9/23/2006 15:00,T,,,
0,Central Michigan,Eastern Michigan,0,,Comcast Local,9/23/2006 15:30,T,,,
0,Alabama,Arkansas,0,,CBS HD,9/23/2006 15:30,T,,,
0,Iowa St.,Texas,0,,ABC,9/23/2006 15:30,T,,,
0,Rice,Florida St.,0,,ESPNU,9/23/2006 15:30,T,,,
0,Penn St.,Ohio St.,0,,ABC HD,9/23/2006 15:30,T,,,
0,Connecticut,Indiana,0,,ESPN Plus,9/23/2006 15:30,T,,,
0,Marshall,Tennessee,0,,CSS PPVWOWK,9/23/2006 16:00,T,,,
0,West Virginia,East Carolina,0,,ESPN2 HD,9/23/2006 16:30,T,,,
0,UTEP,New Mexico,0,,CSTV,9/23/2006 17:00,T,,,
0,North Texas,Akron,0,,,9/23/2006 18:00,W,,,
0,Cal-Poly,San Jose St.,0,,,9/23/2006 18:00,W,,,
0,FIU,Maryland,0,,ESPN360,9/23/2006 18:00,W,,,
0,North Dakota St.,Ball St.,0,,,9/23/2006 18:30,W,,,
0,Temple,Western Michigan,0,,,9/23/2006 19:00,W,,,
0,McNeese St.,Toledo,0,,,9/23/2006 19:00,W,,,
0,FAU,South Carolina,0,,ESPN Plus PPV,9/23/2006 19:00,T,,,
0,USF,Kansas,0,,FSN,9/23/2006 19:00,T,,,
0,Troy,Nebraska,0,,FSN PPV,9/23/2006 19:00,T,,,
0,Middle Tennessee,Oklahoma,0,,FSN PPV,9/23/2006 19:00,T,,,
0,Miami (OH),Syracuse,0,,ESPNU,9/23/2006 19:00,T,,,
0,Kentucky,Florida,0,,ESPN HD,9/23/2006 19:45,T,,,
0,Tulane,LSU,0,,TigerVision PPV,9/23/2006 20:00,T,,,
0,Utah,San Diego St.,0,,The mtn.,9/23/2006 20:00,T,,,
0,Hawai'i,Boise St.,0,,KTVB,9/23/2006 20:00,T,,,
0,Boston College,NC State,0,,ESPN2 HD,9/23/2006 20:00,T,,,
0,Notre Dame,Michigan St.,0,,ABC HD,9/23/2006 20:00,T,,,
0,Arkansas St.,SMU,0,,,9/23/2006 20:00,W,,,
0,Oklahoma St.,Houston,0,,CSTV,9/23/2006 21:00,T,,,
0,Southern Miss,UCF,0,,ESPN2 HD,9/26/2006 19:30,T,,,
0,BYU,TCU,0,,Versus,9/28/2006 18:00,T,,,
0,Auburn,South Carolina,0,,ESPN HD,9/28/2006 19:30,T,,,
0,Rutgers,USF,0,,ESPN2 HD,9/29/2006 20:00,T,,,
0,Toledo,Pittsburgh,0,,ESPNU,9/30/2006 12:00,T,,,
0,Navy,Connecticut,0,,ESPN Plus,9/30/2006 12:00,T,,,
0,Virginia,Duke,0,,Raycom/LF Sports,9/30/2006 12:00,T,,,
0,Tennessee,Memphis,0,,ESPN HD,9/30/2006 12:00,T,,,
0,Wisconsin,Indiana,0,,ESPN2 HD,9/30/2006 12:00,T,,,
0,Illinois,Michigan St.,0,,ESPN Plus,9/30/2006 12:00,T,,,
0,Colorado,Missouri,0,,FSN,9/30/2006 12:30,T,,,
0,Mississippi St.,LSU,0,,Lincoln Financial Sports,9/30/2006 12:30,T,,,
0,Maine,Boston College,0,,ESPN360,9/30/2006 13:00,W,,,
0,Wyoming,Syracuse,0,,ESPN360,9/30/2006 13:30,W,,,
0,New Mexico,Air Force,0,,The mtn.,9/30/2006 14:00,T,,,
0,Akron,Kent St.,0,,MAC TV,9/30/2006 14:00,T,,,
0,Bowling Green,Ohio,0,,,9/30/2006 14:00,W,,,
0,Purdue,Notre Dame,0,,NBC HD,9/30/2006 14:30,T,,,
0,Boise St.,Utah,0,,Versus,9/30/2006 15:00,T,,,
0,Idaho,Utah St.,0,,Vandals Sports,9/30/2006 15:00,T,,,
0,Alabama,Florida,0,,CBS HD,9/30/2006 15:30,T,,,
0,Rice,Army,0,,ESPNU,9/30/2006 15:30,T,,,
0,Northwestern,Penn St.,0,,ABC,9/30/2006 15:30,T,,,
0,Texas Tech,Texas A&M,0,,ABC,9/30/2006 15:30,T,,,
0,Liberty,Wake Forest,0,,ESPN360,9/30/2006 15:30,W,,,
0,Georgia Tech,Virginia Tech,0,,ABC HD,9/30/2006 15:30,T,,,
0,Houston,Miami (FL),0,,ESPN2 HD,9/30/2006 18:00,T,,,
0,Northern Illinois,Ball St.,0,,Comcast Local,9/30/2006 18:30,T,,,
0,Middle Tennessee,North Texas,0,,ESPN Plus,9/30/2006 19:00,T,,,
0,FAU,UL-Monroe,0,,CSS,9/30/2006 19:00,T,,,
0,Louisiana Tech,Clemson,0,,ESPNU,9/30/2006 19:00,T,,,
0,Kansas,Nebraska,0,,FSN,9/30/2006 19:00,T,,,
0,Sam Houston St.,Texas,0,,FSN PPV,9/30/2006 19:00,T,,,
0,SMU,Tulane,0,,CSTV,9/30/2006 19:30,T,,,
0,Ohio St.,Iowa,0,,ABC HD,9/30/2006 20:00,T,,,
0,Michigan,Minnesota,0,,ESPN HD,9/30/2006 20:00,T,,,
0,New Mexico St.,UTEP,0,,,9/30/2006 21:00,W,,,
0,Georgia,Ole Miss,0,,ESPN2 HD,9/30/2006 21:00,T,,,
0,Nevada,UNLV,0,,The mtn.,9/30/2006 22:00,T,,,
0,Colorado St.,Fresno St.,0,,KFRE,9/30/2006 22:00,T,,,
0,Eastern Illinois,Hawai'i,0,,Oceanic PPV,9/30/2006 23:59,T,,,
0,Southern Miss,Tulsa,0,,ESPN2 HD,10/3/2006 19:30,T,,,
0,UCF,Marshall,0,,ESPN2 HD,10/4/2006 19:30,T,,,
0,Florida St.,NC State,0,,ESPN HD,10/5/2006 19:30,T,,,
0,TCU,Utah,0,,Versus,10/5/2006 21:00,T,,,
0,Western Michigan,Ohio,0,,MAC TV,10/7/2006 12:00,T,,,
0,Arkansas,Auburn,0,,CBS,10/7/2006 12:00,T,,,
0,Clemson,Wake Forest,0,,ESPN HD,10/7/2006 12:00,T,,,
0,North Carolina,Miami (FL),0,,Raycom/LF Sports,10/7/2006 12:00,T,,,
0,Texas A&M,Kansas,0,,FSN,10/7/2006 12:00,T,,,
0,Pittsburgh,Syracuse,0,,ESPN Plus,10/7/2006 12:00,T,,,
0,Purdue,Iowa,0,,ESPNU,10/7/2006 12:00,T,,,
0,Penn St.,Minnesota,0,,ESPN Plus,10/7/2006 12:00,T,,,
0,Indiana,Illinois,0,,ESPN Plus,10/7/2006 12:00,T,,,
0,Northwestern,Wisconsin,0,,ESPN360,10/7/2006 12:00,W,,,
0,VMI,Army,0,,ESPN Classic,10/7/2006 13:00,T,,,
