game,network,time,mediaindicator,
UL-Lafayette at Oklahoma St.,FSN HD,09/15/2012 12:00,T,
TCU at Kansas,F/X HD,09/15/2012 12:00,T,
Connecticut at Maryland,ACC Network HD,09/15/2012 12:30,T,
Presbyterian at Vanderbilt,SEC/CSS HD,09/15/2012 12:30,T,
Furman at Clemson,ACC RSNs HD,09/15/2012 15:00,T,
Tennessee Tech at Oregon,Pac-12 Networks HD,09/15/2012 15:00,T,
Navy at Penn St.,ABC HD,09/15/2012 15:30,T,
Boston College at Northwestern,BTN HD,09/15/2012 15:30,T,
Northern Iowa at Iowa,BTN HD,09/15/2012 15:30,T,
Massachusetts at Michigan,BTN HD,09/15/2012 15:30,T,
Alabama at Arkansas,CBS HD,09/15/2012 15:30,T,
North Carolina at Louisville,ABC HD,09/15/2012 15:30,T,
Texas A&M at SMU,FSN HD,09/15/2012 15:30,T,
East Carolina at Southern Miss,CBS Sports Network HD,09/15/2012 15:30,T,
Virginia at Georgia Tech,ESPNU HD,09/15/2012 15:30,T,
Morgan St. at Akron,ESPN3,09/15/2012 15:30,W,
Miami (OH) at Boise St.,NBC Sports Network,09/15/2012 16:00,T,
FIU at UCF,CSS,09/15/2012 16:00,T,
Stony Brook at Syracuse,Big East Network,09/15/2012 16:00,T,
Portland St. at Washington,F/X HD,09/15/2012 16:00,T,
James Madison vs. West Virginia<br>(at Landover, MD),ROOT Sports Pittsburgh,09/15/2012 16:30,T
Florida at Tennessee,ESPN HD,09/15/2012 18:00,T,
South Alabama at NC State,ESPN3,09/15/2012 18:00,W,
Ohio at Marshall,,09/15/2012 18:30,W,
Middle Tennessee at Memphis,,09/15/2012 19:00,W,
Nicholls St. at Tulsa,,09/15/2012 19:00,W,
Bowling Green at Toledo,ESPN3,09/15/2012 19:00,W,
Mississippi St. at Troy,ESPN3,09/15/2012 19:00,W,
Rice at Louisiana Tech,ESPN3,09/15/2012 19:00,W,
Colorado St. at San Jose St.,ESPN3,09/15/2012 19:00,W,
Northwestern St. at Nevada,,09/15/2012 19:00,W,
New Mexico at Texas Tech,FOX College Sports,09/15/2012 19:00,T,
UAB at South Carolina,SEC/FOX RSNs HD,09/15/2012 19:00,T,
Western Kentucky at Kentucky,ESPNU HD,09/15/2012 19:00,T,
Arizona St. at Missouri,ESPN2 HD,09/15/2012 19:00,T,
Delaware St. at Cincinnati,ESPN3,09/15/2012 19:00,W,
NC Central at Duke,ESPN3,09/15/2012 19:00,W,
Sam Houston St. at Baylor,FOX College Sports,09/15/2012 19:00,T,
North Texas at Kansas St.,FSN HD,09/15/2012 19:00,T,
FAU at Georgia,SEC/CSS HD,09/15/2012 19:30,T,
USC at Stanford,FOX HD,09/15/2012 19:30,T,
Notre Dame at Michigan St.,ABC HD,09/15/2012 20:00,T,
Ball St. at Indiana,BTN HD,09/15/2012 20:00,T,
Utah St. at Wisconsin,BTN HD,09/15/2012 20:00,T,
Idaho at LSU,TigerVision PPV,09/15/2012 20:00,T,
North Dakota at San Diego St.,KUSI,09/15/2012 20:00,T,
Colorado at Fresno St.,CBS Sports Network HD,09/15/2012 20:00,T,
New Mexico St. at UTEP,,09/15/2012 20:00,W,
Western Illinois at Iowa St.,,09/15/2012 20:00,W,
Texas at Ole Miss,ESPN HD,09/15/2012 21:15,T,
BYU at Utah,ESPN2 HD,09/15/2012 22:00,T,
Houston at UCLA,Pac-12 Networks HD,09/15/2012 22:30,T,
South Carolina St. at Arizona,Pac-12 Networks HD,09/15/2012 22:30,T,
Lamar at Hawai'i,Oceanic PPV HD,09/15/2012 23:59,T,
Kent St. at Buffalo,ESPNU HD,09/19/2012 19:00,T,
BYU at Boise St.,ESPN HD,09/20/2012 21:00,T,
Baylor at UL-Monroe,ESPN HD,09/21/2012 20:00,T,
Northwest Oklahoma St. at UTSA,,09/22/2012 00:00,N,
Virginia at TCU,ESPN HD<br>ESPN 3D,09/22/2012 12:00,T,
Ole Miss at Tulane,FSN HD,09/22/2012 12:00,T,
Massachusetts at Miami (OH),ESPN Plus,09/22/2012 12:00,T,
Bowling Green at Virginia Tech,ESPNU HD,09/22/2012 12:00,T,
Central Michigan at Iowa,BTN HD,09/22/2012 12:00,T,
UTEP at Wisconsin,ESPN2 HD,09/22/2012 12:00,T,
UAB at Ohio St.,BTN HD,09/22/2012 12:00,T,
Kentucky at Florida,SEC Network HD,09/22/2012 12:00,T,
Maryland at West Virginia,F/X HD,09/22/2012 12:00,T,
Army at Wake Forest,ACC Network HD,09/22/2012 12:30,T,
Norfolk St. at Ohio,ESPN3,09/22/2012 14:00,W,
Connecticut at Western Michigan,ESPN3,09/22/2012 14:00,W,
Miami (FL) at Georgia Tech,ACC RSNs HD,09/22/2012 15:00,T,
East Carolina at North Carolina,ESPNU HD,09/22/2012 15:30,T,
Kansas at Northern Illinois,ESPN3,09/22/2012 15:30,W,
Marshall at Rice,CSS,09/22/2012 15:30,T,
Missouri at South Carolina,CBS HD,09/22/2012 15:30,T,
Temple at Penn St.,ABC/ESPN2 HD,09/22/2012 15:30,T,
South Dakota at Northwestern,BTN HD,09/22/2012 15:30,T,
Eastern Michigan at Michigan St.,BTN HD,09/22/2012 15:30,T,
Oregon St. at UCLA,ABC/ESPN2 HD,09/22/2012 15:30,T,
VMI at Navy,CBS Sports Network HD,09/22/2012 15:30,T,
Idaho St. at Nebraska,BTN HD,09/22/2012 15:30,T,
Gardner-Webb at Pittsburgh,ESPN3,09/22/2012 15:30,W,
Colorado at Washington St.,F/X HD,09/22/2012 16:00,T,
USF at Ball St.,ESPN Plus,09/22/2012 16:30,T,
Wyoming at Idaho,ESPN3,09/22/2012 17:00,W,
FAU at Alabama,Crimson Tide PPV,09/22/2012 17:00,T,
The Citadel at NC State,,09/22/2012 18:00,W,
California at USC,Pac-12 Networks HD,09/22/2012 18:00,T,
Memphis at Duke,,09/22/2012 18:00,W,
Utah St. at Colorado St.,KTVD,09/22/2012 19:00,T,
Southern Miss at Western Kentucky,ESPN3,09/22/2012 19:00,W,
Alcorn St. at Arkansas St.,,09/22/2012 19:00,W,
Louisville at FIU,ESPN3,09/22/2012 19:00,W,
Coastal Carolina at Toledo,ESPN3,09/22/2012 19:00,W,
South Alabama at Mississippi St.,Bulldog Sports PPV,09/22/2012 19:00,T,
LSU at Auburn,ESPN HD,09/22/2012 19:00,T,
Rutgers at Arkansas,ESPNU HD,09/22/2012 19:00,T,
South Carolina St. at Texas A&M,SEC/FOX RSNs HD,09/22/2012 19:00,T,
Stephen F. Austin at Texas St.,,09/22/2012 19:00,W,
Troy at North Texas,ESPN3,09/22/2012 19:00,W,
Kansas St. at Oklahoma,FOX HD,09/22/2012 19:30,T,
Akron at Tennessee,SEC/CSS HD,09/22/2012 19:30,T,
Michigan at Notre Dame,NBC HD,09/22/2012 19:30,T,
Vanderbilt at Georgia,ESPN2 HD,09/22/2012 19:45,T,
Clemson at Florida St.,ABC HD,09/22/2012 20:00,T,
Syracuse at Minnesota,BTN HD,09/22/2012 20:00,T,
Louisiana Tech at Illinois,BTN HD,09/22/2012 20:00,T,
Fresno St. at Tulsa,CBS Sports Network HD,09/22/2012 20:00,T,
New Mexico at New Mexico St.,ESPN3,09/22/2012 20:00,W,
San Jose St. at San Diego St.,KUSI,09/22/2012 20:00,T,
Air Force at UNLV,Altitude,09/22/2012 22:00,T,
Utah at Arizona St.,Pac-12 Networks HD,09/22/2012 22:00,T,
Arizona at Oregon,ESPN HD,09/22/2012 22:30,T,
