game,network,time,mediaindicator
Nevada at Utah St.,KAME<br>KJZZ,10/20/2007 3:00:00 PM,T
Memphis at Rice,Web Video Available,10/20/2007 3:00:00 PM,W
USC at Notre Dame,NBC HD,10/20/2007 3:30:00 PM,T
Michigan St. at Ohio St.,ABC HD,10/20/2007 3:30:00 PM,T
Texas Tech at Missouri,ABC,10/20/2007 3:30:00 PM,T
Miami (FL) at Florida St.,ABC HD,10/20/2007 3:30:00 PM,T
Mississippi St. at West Virginia,ESPN Plus,10/20/2007 3:30:00 PM,T
Arkansas St. at Middle Tennessee,Web Video Available,10/20/2007 3:30:00 PM,W
North Texas at Troy,Troy Sports,10/20/2007 3:30:00 PM,T
Florida at Kentucky,CBS HD,10/20/2007 3:30:00 PM,T
Buffalo at Syracuse,ESPNU,10/20/2007 4:00:00 PM,T
Tulsa at UCF,Web Video Available,10/20/2007 4:00:00 PM,W
NC State at East Carolina,CSTV,10/20/2007 4:30:00 PM,T
FAU at UL-Lafayette,ESPN Plus,10/20/2007 5:00:00 PM,T
San Jose St. at Fresno St.,KFRE,10/20/2007 5:00:00 PM,T
Eastern Washington at BYU,The mtn.,10/20/2007 5:30:00 PM,T
Kansas at Colorado,ESPN HD,10/20/2007 5:45:00 PM,T
Houston at UAB,Web Video Available,10/20/2007 7:00:00 PM,W
Ohio at Toledo,WSFJ,10/20/2007 7:00:00 PM,T
Boise St. at Louisiana Tech,KTVB,10/20/2007 7:00:00 PM,T
FIU at UL-Monroe,Web Video Available,10/20/2007 7:00:00 PM,W
Idaho at New Mexico St.,AggieVision,10/20/2007 8:00:00 PM,T
Tulane at SMU,FSN Southwest,10/20/2007 8:00:00 PM,T
Michigan at Illinois,ABC HD,10/20/2007 8:00:00 PM,T
Virginia at Maryland,ESPN2 HD,10/20/2007 8:00:00 PM,T
New Mexico at San Diego St.,CSTV,10/20/2007 8:30:00 PM,T
Auburn at LSU,ESPN HD,10/20/2007 9:00:00 PM,T
Southern Miss at Marshall,ESPN HD,10/21/2007 8:00:00 PM,T
Boston College at Virginia Tech,ESPN HD,10/25/2007 7:30:00 PM,T
Air Force at New Mexico,Versus,10/25/2007 9:00:00 PM,T
Boise St. at Fresno St.,ESPN2 HD,10/26/2007 9:00:00 PM,T
North Carolina at Wake Forest,Raycom/LF Sports,10/27/2007 12:00:00 PM,T
Colorado at Texas Tech,ABC,10/27/2007 12:00:00 PM,T
West Virginia at Rutgers,ABC HD,10/27/2007 12:00:00 PM,T
Pittsburgh at Louisville,ESPN Plus,10/27/2007 12:00:00 PM,T
Michigan St. at Iowa,ESPN2 HD,10/27/2007 12:00:00 PM,T
Ball St. at Illinois,Big Ten Network HD,10/27/2007 12:00:00 PM,T
Northwestern at Purdue,Big Ten Network HD,10/27/2007 12:00:00 PM,T
Indiana at Wisconsin,Big Ten Network HD,10/27/2007 12:00:00 PM,T
Mississippi St. at Kentucky,Lincoln Financial Sports,10/27/2007 12:30:00 PM,T
Akron at Buffalo,Web Video Available,10/27/2007 1:00:00 PM,W
Central Michigan at Kent St.,Web Video Available,10/27/2007 1:00:00 PM,W
Delaware at Navy,CSTV,10/27/2007 1:00:00 PM,T
UNLV at Wyoming,The mtn.,10/27/2007 2:00:00 PM,T
Louisiana Tech at Utah St.,ESPN Plus,10/27/2007 3:00:00 PM,T
Memphis at Tulane,Web Video Available,10/27/2007 3:00:00 PM,W
SMU at Tulsa,KTXA,10/27/2007 3:00:00 PM,T
UAB at East Carolina,MASN,10/27/2007 3:30:00 PM,T
Minnesota at Michigan,ESPN Classic,10/27/2007 3:30:00 PM,T
USF at Connecticut,ABC HD,10/27/2007 3:30:00 PM,T
Nebraska at Texas,ABC,10/27/2007 3:30:00 PM,T
Clemson at Maryland,ABC,10/27/2007 3:30:00 PM,T
Western Michigan at Eastern Michigan,Comcast Local,10/27/2007 3:30:00 PM,T
Georgia vs. Florida<br>(at Jacksonville, FL),CBS HD,10/27/2007 3:30:00 PM,T
UL-Monroe at FAU,Web Video Available,10/27/2007 4:00:00 PM,W
Idaho at Nevada,KBCI,10/27/2007 4:00:00 PM,T
Virginia at NC State,ESPNU,10/27/2007 4:30:00 PM,T
Rice at Marshall,CSTV,10/27/2007 4:30:00 PM,T
Utah at Colorado St.,The mtn.,10/27/2007 5:30:00 PM,T
Ohio at Bowling Green,WSFJ,10/27/2007 6:00:00 PM,T
Ole Miss at Auburn,CSS PPV,10/27/2007 6:00:00 PM,T
Northern Illinois at Toledo,Web Video Available,10/27/2007 7:00:00 PM,W
Middle Tennessee at North Texas,Web Video Available,10/27/2007 7:00:00 PM,W
Troy at Arkansas St.,ESPN Plus,10/27/2007 7:00:00 PM,T
Kansas at Texas A&M,ESPN2 HD,10/27/2007 7:00:00 PM,T
South Carolina at Tennessee,ESPN HD,10/27/2007 7:45:00 PM,T
Duke at Florida St.,ESPNU,10/27/2007 8:00:00 PM,T
Ohio St. at Penn St.,ABC HD,10/27/2007 8:00:00 PM,T
Houston at UTEP,Web Video Available,10/27/2007 9:00:00 PM,W
New Mexico St. at Hawai'i,Oceanic PPV,10/27/2007 11:59:00 PM,T
UCF at Southern Miss,ESPN HD,10/28/2007 8:00:00 PM,T
Virginia Tech at Georgia Tech,ESPN HD,11/1/2007 7:30:00 PM,T
Temple at Ohio,Web Video Available,11/2/2007 7:00:00 PM,W
Akron at Bowling Green,ESPNU,11/2/2007 7:30:00 PM,T
Nevada at New Mexico St.,ESPN HD,11/2/2007 8:00:00 PM,T
NC State at Miami (FL),ESPNU,11/3/2007 12:00:00 PM,T
Wake Forest at Virginia,Raycom/LF Sports,11/3/2007 12:00:00 PM,T
Clemson at Duke,CSS Replay Feed,11/3/2007 12:00:00 PM,T
Syracuse at Pittsburgh,ESPN Plus,11/3/2007 12:00:00 PM,T
Purdue at Penn St.,ESPN HD,11/3/2007 12:00:00 PM,T
Iowa at Northwestern,ESPN2 HD,11/3/2007 12:00:00 PM,T
Wisconsin at Ohio St.,Big Ten Network HD,11/3/2007 12:00:00 PM,T
Ball St. at Indiana,Big Ten Network HD,11/3/2007 12:00:00 PM,T
Nebraska at Kansas,FSN HD,11/3/2007 12:30:00 PM,T
Kansas St. at Iowa St.,Versus,11/3/2007 12:30:00 PM,T
Vanderbilt at Florida,Lincoln Financial Sports,11/3/2007 12:30:00 PM,T
Colorado St. at BYU,The mtn.,11/3/2007 2:00:00 PM,T
East Carolina at Memphis,WITN,11/3/2007 2:00:00 PM,T
Navy at Notre Dame,NBC HD,11/3/2007 2:30:00 PM,T
UTEP at Rice,Web Video Available,11/3/2007 3:00:00 PM,W
Buffalo at Miami (OH),ONN,11/3/2007 3:00:00 PM,T
FIU at Arkansas St.,ESPN Plus,11/3/2007 3:00:00 PM,T
San Jose St. at Boise St.,KTVB,11/3/2007 3:00:00 PM,T
Army at Air Force,CSTV,11/3/2007 3:30:00 PM,T
Marshall at UCF,CSS,11/3/2007 3:30:00 PM,T
Michigan at Michigan St.,ABC HD,11/3/2007 3:30:00 PM,T
Texas at Oklahoma St.,ABC,11/3/2007 3:30:00 PM,T
Cincinnati at USF,ABC,11/3/2007 3:30:00 PM,T
Maryland at North Carolina,ESPNU,11/3/2007 3:45:00 PM,T
Utah St. at Fresno St.,Web Video Available,11/3/2007 5:00:00 PM,W
LSU at Alabama,CBS HD,11/3/2007 5:00:00 PM,T
New Mexico at TCU,The mtn.,11/3/2007 5:30:00 PM,T
Louisiana Tech at Idaho,Web Video Available,11/3/2007 6:00:00 PM,W
Missouri at Colorado,FSN HD,11/3/2007 6:30:00 PM,T
Southern Miss at UAB,CSS,11/3/2007 7:00:00 PM,T
Middle Tennessee at UL-Monroe,Web Video Available,11/3/2007 7:00:00 PM,W
Eastern Michigan at Toledo,Web Video Available,11/3/2007 7:00:00 PM,W
Rutgers at Connecticut,ESPNU,11/3/2007 7:15:00 PM,T
Tulsa at Tulane,CSTV,11/3/2007 7:30:00 PM,T
Illinois at Minnesota,Big Ten Network HD,11/3/2007 8:00:00 PM,T
Texas A&M at Oklahoma,ABC,11/3/2007 8:00:00 PM,T
Florida St. at Boston College,ABC HD,11/3/2007 8:00:00 PM,T
South Carolina at Arkansas,ESPN2 HD,11/3/2007 8:00:00 PM,T
Wyoming at San Diego St.,The mtn.,11/3/2007 9:00:00 PM,T
SMU at Houston,ESPN HD,11/4/2007 8:00:00 PM,T
Central Michigan at Western Michigan,ESPN2 HD,11/6/2007 7:30:00 PM,T
Ohio at Akron,ESPN2 HD,11/7/2007 7:30:00 PM,T
Louisville at West Virginia,ESPN HD,11/8/2007 7:30:00 PM,T
TCU at BYU,Versus,11/8/2007 9:00:00 PM,T
Bowling Green at Eastern Michigan,ESPNU,11/9/2007 7:30:00 PM,T
Rutgers at Army,ESPN2 HD,11/9/2007 8:00:00 PM,T
Michigan at Wisconsin,ESPN HD,11/10/2007 12:00:00 PM,T
Indiana at Northwestern,ESPN Classic,11/10/2007 12:00:00 PM,T
Michigan St. at Purdue,Big Ten Network HD,11/10/2007 12:00:00 PM,T
Minnesota at Iowa,Big Ten Network HD,11/10/2007 12:00:00 PM,T
USF at Syracuse,ESPN Plus,11/10/2007 12:00:00 PM,T
Wake Forest at Clemson,ESPN2 HD,11/10/2007 12:00:00 PM,T
North Carolina at NC State,Raycom/LF Sports,11/10/2007 12:00:00 PM,T
Penn St. at Temple,ESPNU,11/10/2007 12:00:00 PM,T
Alabama at Mississippi St.,Lincoln Financial Sports,11/10/2007 12:30:00 PM,T
Arkansas at Tennessee,Lincoln Financial Sports,11/10/2007 12:30:00 PM,T
Texas A&M at Missouri,FSN HD,11/10/2007 12:30:00 PM,T
Kansas St. at Nebraska,Versus,11/10/2007 12:30:00 PM,T
Colorado at Iowa St.,FOX College Sports,11/10/2007 12:30:00 PM,T
Georgia Tech at Duke,ACC Select,11/10/2007 1:00:00 PM,W
Rice at SMU,Web Video Available,11/10/2007 2:00:00 PM,W
Kentucky at Vanderbilt,Big Blue Sports Delayed Feed,11/10/2007 2:00:00 PM,T
Air Force at Notre Dame,NBC HD,11/10/2007 2:30:00 PM,T
Houston at Tulsa,Web Video Available,11/10/2007 3:00:00 PM,W
Boise St. at Utah St.,KTVB<br>KJZZ,11/10/2007 3:00:00 PM,T
Colorado St. at New Mexico,The mtn.,11/10/2007 3:00:00 PM,T
Wyoming at Utah,CSTV,11/10/2007 3:30:00 PM,T
Auburn at Georgia,CBS HD,11/10/2007 3:30:00 PM,T
Illinois at Ohio St.,ABC HD,11/10/2007 3:30:00 PM,T
Connecticut at Cincinnati,ESPNU,11/10/2007 3:30:00 PM,T
Texas Tech at Texas,ABC,11/10/2007 3:30:00 PM,T
Florida St. at Virginia Tech,ABC,11/10/2007 3:30:00 PM,T
New Mexico St. at San Jose St.,AggieVision,11/10/2007 4:00:00 PM,T
Kent St. at Northern Illinois,CSN Chicago,11/10/2007 4:00:00 PM,T
Memphis at Southern Miss,CSS,11/10/2007 4:30:00 PM,T
East Carolina at Marshall,WITN,11/10/2007 4:30:00 PM,T
Baylor at Oklahoma,FSN HD,11/10/2007 6:30:00 PM,T
UTEP at Tulane,Web Video Available,11/10/2007 7:00:00 PM,W
Virginia at Miami (FL),ESPN2 HD,11/10/2007 7:15:00 PM,T
UCF at UAB,CSTV,11/10/2007 7:30:00 PM,T
Florida at South Carolina,ESPN HD,11/10/2007 7:45:00 PM,T
Louisiana Tech at LSU,TigerVision PPV,11/10/2007 8:00:00 PM,T
Boston College at Maryland,ABC,11/10/2007 8:00:00 PM,T
Kansas at Oklahoma St.,ABC HD,11/10/2007 8:00:00 PM,T
Fresno St. at Hawai'i,ESPN2<br>KFRE<br>Oceanic PPV,11/10/2007 11:00:00 PM,T
San Diego St. at UNLV,CSTV,11/10/2007 11:00:00 PM,T
Toledo at Ball St.,ESPN2 HD,11/13/2007 7:30:00 PM,T
Akron at Miami (OH),ESPN2 HD,11/14/2007 7:30:00 PM,T
North Texas at Arkansas St.,ESPN Plus,11/15/2007 7:00:00 PM,T
Eastern Michigan at Central Michigan,Comcast Local,11/16/2007 7:00:00 PM,T
Hawai'i at Nevada,ESPN2 HD,11/16/2007 11:00:00 PM,T
FAU at Florida,Sun Sports PPV,11/17/2007 12:00:00 PM,T
Kent St. at Temple,Web Video Available,11/17/2007 12:00:00 PM,W
Syracuse at Connecticut,ESPN2 HD,11/17/2007 12:00:00 PM,T
Pittsburgh at Rutgers,ESPN Plus,11/17/2007 12:00:00 PM,T
Maryland at Florida St.,Raycom/LF Sports,11/17/2007 12:00:00 PM,T
North Carolina at Georgia Tech,Raycom/LF Sports,11/17/2007 12:00:00 PM,T
Tulsa at Army,ESPN Classic,11/17/2007 12:00:00 PM,T
Ohio St. at Michigan,ABC HD,11/17/2007 12:00:00 PM,T
Northwestern at Illinois,ESPN HD,11/17/2007 12:00:00 PM,T
Missouri at Kansas St.,FSN HD,11/17/2007 12:30:00 PM,T
Kentucky at Georgia,Lincoln Financial Sports,11/17/2007 12:30:00 PM,T
Bowling Green at Buffalo,Web Video Available,11/17/2007 1:00:00 PM,W
UCF at SMU,Web Video Available,11/17/2007 2:00:00 PM,W
BYU at Wyoming,The mtn.,11/17/2007 2:00:00 PM,T
Vanderbilt at Tennessee,Vol Network PPV,11/17/2007 2:00:00 PM,T
Idaho at Boise St.,KTVB,11/17/2007 2:00:00 PM,T
Duke at Notre Dame,NBC HD,11/17/2007 2:30:00 PM,T
Tulane at Rice,Web Video Available,11/17/2007 3:00:00 PM,W
LSU at Ole Miss,CBS HD,11/17/2007 3:30:00 PM,T
Iowa St. at Kansas,ABC,11/17/2007 3:30:00 PM,T
Miami (FL) at Virginia Tech,ABC HD,11/17/2007 3:30:00 PM,T
Penn St. at Michigan St.,ABC HD,11/17/2007 3:30:00 PM,T
Purdue at Indiana,Big Ten Network HD,11/17/2007 3:30:00 PM,T
Wisconsin at Minnesota,Big Ten Network HD,11/17/2007 3:30:00 PM,T
Western Michigan at Iowa,Big Ten Network HD,11/17/2007 3:30:00 PM,T
Northern Illinois at Navy,CSTV,11/17/2007 3:30:00 PM,T
UAB at Memphis,CSS,11/17/2007 3:30:00 PM,T
Marshall at Houston,WOWK,11/17/2007 3:30:00 PM,T
NC State at Wake Forest,ESPNU,11/17/2007 4:00:00 PM,T
New Mexico at Utah,The mtn.,11/17/2007 5:30:00 PM,T
UL-Lafayette at FIU,Web Video Available,11/17/2007 7:00:00 PM,W
Oklahoma St. at Baylor,FSN HD,11/17/2007 7:00:00 PM,T
Southern Miss at UTEP,CSTV,11/17/2007 7:30:00 PM,T
Boston College at Clemson,ESPN2 HD,11/17/2007 7:45:00 PM,T
West Virginia at Cincinnati,ESPN HD,11/17/2007 7:45:00 PM,T
Louisville at USF,ESPNU,11/17/2007 8:00:00 PM,T
Oklahoma at Texas Tech,ABC HD,11/17/2007 8:00:00 PM,T
Middle Tennessee at Troy,ESPN2 HD,11/20/2007 7:00:00 PM,T
Central Michigan at Akron,ESPNU,11/23/2007 11:00:00 AM,T
Nebraska at Colorado,ABC HD,11/23/2007 12:00:00 PM,T
Ole Miss at Mississippi St.,Lincoln Financial Sports,11/23/2007 12:30:00 PM,T
Wyoming at Colorado St.,The mtn.,11/23/2007 2:00:00 PM,T
Toledo at Bowling Green,ESPNU,11/23/2007 2:30:00 PM,T
Arkansas at LSU,CBS HD,11/23/2007 2:30:00 PM,T
Texas at Texas A&M,ABC HD,11/23/2007 3:30:00 PM,T
Boise St. at Hawai'i,ESPN2 HD,11/23/2007 9:00:00 PM,T
USF at Pittsburgh,ESPN Plus,11/24/2007 12:00:00 PM,T
Miami (FL) at Boston College,ESPN HD,11/24/2007 12:00:00 PM,T
Virginia Tech at Virginia,ESPN2 HD,11/24/2007 12:00:00 PM,T
Maryland at NC State,Raycom/LF Sports,11/24/2007 12:00:00 PM,T
Buffalo at Kent St.,Web Video Available,11/24/2007 1:00:00 PM,W
Tulane at East Carolina,MASN,11/24/2007 1:00:00 PM,T
Tennessee at Kentucky,CBS HD,11/24/2007 1:30:00 PM,T
Temple at Western Michigan,Web Video Available,11/24/2007 2:00:00 PM,W
SMU at Memphis,KTXA,11/24/2007 2:00:00 PM,T
UTEP at UCF,Web Video Available,11/24/2007 2:00:00 PM,W
Miami (OH) at Ohio,WSFJ,11/24/2007 2:00:00 PM,T
Utah at BYU,The mtn.,11/24/2007 2:00:00 PM,T
Tulsa at Rice,Web Video Available,11/24/2007 3:00:00 PM,W
Arkansas St. at Southern Miss,Web Video Available,11/24/2007 3:00:00 PM,W
Texas Southern at Houston,Web Video Available,11/24/2007 3:30:00 PM,W
Kansas St. at Fresno St.,ESPN2,11/24/2007 3:30:00 PM,T
Utah St. at Idaho,Altitude,11/24/2007 3:30:00 PM,T
Georgia at Georgia Tech,ABC HD,11/24/2007 3:30:00 PM,T
Duke at North Carolina,ESPNU,11/24/2007 3:30:00 PM,T
Connecticut at West Virginia,ABC HD,11/24/2007 3:30:00 PM,T
Oklahoma St. at Oklahoma,FSN HD,11/24/2007 3:30:00 PM,T
Nevada at San Jose St.,KAME,11/24/2007 4:00:00 PM,T
Western Kentucky at North Texas,Web Video Available,11/24/2007 4:00:00 PM,W
Ball St. at Northern Illinois,CSN Chicago,11/24/2007 4:00:00 PM,T
UAB at Marshall,WOWK,11/24/2007 4:30:00 PM,T
Florida St. at Florida,CBS HD,11/24/2007 5:00:00 PM,T
UNLV at New Mexico,The mtn.,11/24/2007 5:30:00 PM,T
Clemson at South Carolina,ESPN2 HD,11/24/2007 7:00:00 PM,T
FAU at FIU,ESPN Plus,11/24/2007 7:00:00 PM,T
UL-Monroe at UL-Lafayette,Web Video Available,11/24/2007 7:00:00 PM,W
Cincinnati at Syracuse,ESPNU,11/24/2007 7:15:00 PM,T
Missouri vs. Kansas<br>(at Kansas City, MO),ABC HD,11/24/2007 8:00:00 PM,T
Alabama at Auburn,ESPN HD,11/24/2007 8:00:00 PM,T
Rutgers at Louisville,ESPN HD,11/29/2007 7:30:00 PM,T
Fresno St. at New Mexico St.,ESPN2 HD,11/30/2007 8:00:00 PM,T
MAC Championship<br>Central Michigan vs. Miami (OH)<br>(at Detroit, MI),ESPN2 HD,12/1/2007 11:00:00 AM,T
C-USA Championship<br>Tulsa at UCF,ESPN HD,12/1/2007 12:00:00 PM,T
ACC Championship<br>Boston College vs. Virginia Tech<br>(at Jacksonville, FL),ABC HD,12/1/2007 1:00:00 PM,T
FAU at Troy,CSS,12/1/2007 2:00:00 PM,T
Louisiana Tech at Nevada,Web Video Available,12/1/2007 4:00:00 PM,W
SEC Championship<br>LSU vs. Tennessee<br>(at Atlanta, GA),CBS HD,12/1/2007 4:00:00 PM,T
North Texas at FIU,Web Video Available,12/1/2007 6:00:00 PM,W
BYU at San Diego St.,The mtn.,12/1/2007 6:30:00 PM,T
Pittsburgh at West Virginia,ESPN HD,12/1/2007 7:45:00 PM,T
Big 12 Championship<br>Oklahoma vs. Missouri<br>(at San Antonio, TX),ABC HD,12/1/2007 8:00:00 PM,T
Washington at Hawai'i,ESPN2 HD,12/1/2007 11:30:00 PM,T
